"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Volume","Price","Change"
126,"HYZN","Hyzon Motors Inc","Consumer Cyclical","Auto Parts","USA",131.34,,1263470,0.53,5.30%
127,"LEG","Leggett & Platt, Inc.","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",1554.86,,13279482,11.60,5.26%
128,"FOX","Fox Corporation","Communication Services","Entertainment","USA",14907.36,10.00,4157678,31.94,0.73%
129,"FFIN","First Financial Bankshares, Inc.","Financial","Banks - Regional","USA",4282.34,21.46,925740,29.98,0.47%
130,"CTRE","CareTrust REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",3632.47,50.45,2508786,25.57,0.47%
131,"RYN","Rayonier Inc.","Real Estate","REIT - Specialty","USA",4469.38,27.14,1042207,30.02,1.62%
132,"PENN","PENN Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",2667.88,,22931742,17.50,19.62%
133,"NUVB","Nuvation Bio Inc","Healthcare","Biotechnology","USA",769.33,,5095426,3.10,3.68%
134,"DAR","Darling Ingredients Inc","Consumer Defensive","Packaged Foods","USA",6455.11,12.07,17890192,40.40,2.33%
135,"BSM","Black Stone Minerals L.P.","Energy","Oil & Gas E&P","USA",3394.42,10.63,1203354,16.11,1.64%
136,"CLNE","Clean Energy Fuels Corp","Energy","Oil & Gas Refining & Marketing","USA",698.80,,5258671,3.13,4.33%
137,"BDN","Brandywine Realty Trust","Real Estate","REIT - Office","USA",794.16,,3248155,4.61,1.32%
138,"NEXT","NextDecade Corporation","Energy","Oil & Gas E&P","USA",1847.21,,2887005,7.16,8.98%
139,"PGRE","Paramount Group Inc","Real Estate","REIT - Office","USA",988.85,,3575861,4.55,0.89%
140,"LSXMK","Liberty Media Corp.","Communication Services","Entertainment","USA",7400.53,11.51,14771285,22.66,1.80%
141,"MVIS","Microvision Inc.","Technology","Scientific & Technical Instruments","USA",243.86,,7344523,1.18,2.61%
142,"CZR","Caesars Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",7695.90,10.00,26489511,35.56,11.65%
143,"GPS","Gap, Inc.","Consumer Cyclical","Apparel Retail","USA",10816.85,16.16,53580426,28.96,28.60%
144,"ENLC","Enlink Midstream LLC","Energy","Oil & Gas Midstream","USA",5727.00,36.09,4260966,12.69,2.59%
145,"BWA","BorgWarner Inc","Consumer Cyclical","Auto Parts","USA",8124.77,13.49,19778520,35.66,1.25%
146,"APLE","Apple Hospitality REIT Inc","Real Estate","REIT - Hotel & Motel","USA",3499.53,16.91,4153246,14.44,1.62%
147,"DBX","Dropbox Inc","Technology","Software - Infrastructure","USA",7439.18,14.97,24770482,22.53,0.85%
148,"MGM","MGM Resorts International","Consumer Cyclical","Resorts & Casinos","USA",12600.53,15.44,7443872,40.17,4.26%
149,"OXLC","Oxford Lane Capital Corp","Financial","Closed-End Fund - Debt","USA",1359.54,4.88,8410614,5.46,0.92%
150,"COLD","Americold Realty Trust Inc","Real Estate","REIT - Industrial","USA",7575.35,,4842266,26.67,1.41%
151,"HRL","Hormel Foods Corp.","Consumer Defensive","Packaged Foods","USA",16967.44,22.16,9145330,30.98,0.62%
152,"BF-B","Brown-Forman Corp.","Consumer Defensive","Beverages - Wineries & Distilleries","USA",21669.77,22.76,9237198,45.86,3.59%
153,"JNPR","Juniper Networks Inc","Technology","Communication Equipment","USA",11592.39,51.67,8990055,35.67,1.54%
154,"QRTEA","Qurate Retail Inc","Consumer Cyclical","Internet Retail","USA",282.41,,12500483,0.71,0.23%
155,"VFC","VF Corp.","Consumer Cyclical","Apparel Manufacturing","USA",5164.46,,21240054,13.28,7.70%
156,"APA","APA Corporation","Energy","Oil & Gas E&P","USA",11332.43,3.42,14917391,30.53,2.69%
157,"RPRX","Royalty Pharma plc","Healthcare","Biotechnology","USA",12361.36,15.39,7226956,27.41,3.87%
158,"PATH","UiPath Inc","Technology","Software - Infrastructure","USA",7019.59,,38578979,12.26,1.57%
159,"NI","NiSource Inc","Utilities","Utilities - Regulated Gas","USA",13027.89,19.00,9429513,29.06,3.86%
160,"CATX","Perspective Therapeutics Inc","Healthcare","Medical Devices","USA",930.31,,15604122,1.38,4.55%
161,"MRO","Marathon Oil Corporation","Energy","Oil & Gas E&P","USA",16334.60,12.01,21478869,28.96,2.66%
162,"GEN","Gen Digital Inc","Technology","Software - Infrastructure","USA",15547.30,25.89,19912124,24.83,1.02%
163,"DVN","Devon Energy Corp.","Energy","Oil & Gas E&P","USA",31018.56,9.35,15241565,49.08,3.13%
164,"SIRI","Sirius XM Holdings Inc","Communication Services","Entertainment","USA",10847.50,8.45,101070286,2.82,2.92%
165,"AVTR","Avantor Inc.","Basic Materials","Specialty Chemicals","USA",16356.82,62.94,9510757,24.08,2.03%
166,"WBA","Walgreens Boots Alliance Inc","Healthcare","Pharmaceutical Retailers","USA",13993.16,,29394313,16.22,5.39%
167,"CTRA","Coterra Energy Inc","Energy","Oil & Gas E&P","USA",21225.44,16.63,14169603,28.52,2.74%
168,"VICI","VICI Properties Inc","Real Estate","REIT - Diversified","USA",29949.70,11.39,15483017,28.71,2.32%
169,"GM","General Motors Company","Consumer Cyclical","Auto Manufacturers","USA",51331.79,5.50,32640294,44.99,3.64%
170,"SLB","Schlumberger Ltd.","Energy","Oil & Gas Equipment & Services","USA",65592.41,15.28,41707260,45.89,0.66%
171,"CSX","CSX Corp.","Industrials","Railroads","USA",65978.89,18.54,30338548,33.75,1.35%
172,"CSCO","Cisco Systems, Inc.","Technology","Communication Equipment","USA",187339.67,15.67,39262871,46.50,0.82%
173,"VZ","Verizon Communications Inc","Communication Services","Telecom Services","USA",173211.06,15.35,37645744,41.15,2.03%
174,"ADRT","Ault Disruptive Technologies Corp","Financial","Shell Companies","USA",132.30,,318112,45.00,233.33%
