Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding
CMOPF,Cosmo Pharmaceuticals NV,80,USD,0,65,0.35002692514808836,1347019805.7931037,USD,814.4475005003253,0.098226098,USD,-93.40247546831371,1.41145,Health Technology,Strong buy,7355402.121081
ESKEF,Esker SA,221.15,USD,34.03030303030303,1,0.044444444444444446,1306950025.079729,USD,81.6779651095917,2.707584594,USD,-0.5097474340099436,0.390829,Technology Services,Buy,5349421.7088750005
SDHC,Smith Douglas Homes Corp.,24.9,USD,0.32232070910555316,43327,0.5092818428980649,1276922562.4496372,USD,,,,,0,Consumer Durables,Neutral,8526869.763678001
HY,"Hyster-Yale, Inc.",71.54,USD,-2.3611300668759245,11059,0.09862175671397551,1251740789.1933944,USD,8.288918756082866,8.6308,USD,,1.80838,Producer Manufacturing,Strong buy,8993500.6801
GIC,Global Industrial Company,32.18,USD,-3.3052884615384657,17219,0.3281559688976978,1228658266.8022838,USD,17.488179990217922,1.8401,USD,0.6343997812414577,2.70433,Retail Trade,Neutral,7882769.7872
WINA,Winmark Corporation,340.64,USD,-1.863962432658243,2529,0.14016904530968546,1191364452.8441129,USD,31.0978838393982,10.9538,USD,1.2899586658405995,0.950707,Retail Trade,Strong buy,2880249.02019
CRAI,"CRA International,Inc.",170.54,USD,-0.5771585145455658,25302,0.518382691893996,1179386629.8052819,USD,27.901117418974852,6.1123,USD,8.883782243123848,0.944441,Commercial Services,Buy,6615753.415200001
NRP,Natural Resource Partners LP Limited Partnership,89.6,USD,-0.17825311942960204,3081,0.14113540478513614,1161221841.5686276,USD,6.619287540077718,13.5362,USD,8.424914293037697,3.34225,Energy Minerals,,8379495.216100001
NGRRF,Nagarro SE,81.5685,USD,-4.037058823529412,140,0.78125,1123686469.7359924,USD,19.165982694563972,4.2558997,USD,-30.986572519806778,0,Technology Services,Buy,7862816.151531
JBSS,"John B. Sanfilippo & Son, Inc.",96.77,USD,-1.5163851007531133,17965,0.26882122677647957,1122867207.6951962,USD,17.408120311572432,5.5589,USD,-1.4798667233801202,0.814167,Consumer Non-Durables,,8823118.321560001
